4|Sleng_Teng
3|Stuck_Like_Glue
5|Phil_Ochs_in_Concert
6|Le_Corbusier
3|Highway_to_Hell
7|Set_the_Fire_to_the_Third_Bar
5|Head_over_Feet
6|Sacred_Love
3|Victor_Emmanuel_II_of_Italy
4|Mambo_No._5
4|Morning_Dew
5|Back_for_Good
6|Bicycle_Race
4|Hex_Enduction_Hour
7|5.0
7|Josip_Broz_Tito
5|Ben_Jonson
4|Number_1s..._and_Then_Some
4|Spring_Is_Here
6|Blakroc
7|Original_Soundtracks_1
7|Kumar_Sanu
7|Bat_Out_of_Hell
3|Ivan_Ljubi?i?
4|Anil_Kapoor
4|Ashoka
4|Fly,_Robin,_Fly
5|Renée_Zellweger
7|Highly_Evolved
7|Albert_Montañés
3|Vinicius_de_Moraes
6|Solomon
7|Leo?_Friedl
5|The_Stars_and_Stripes_Forever
6|Taylor_Swift
4|Over_the_Wall
6|Good_Evening_New_York_City
4|Cosmic_Girl
4|Ralph_Nader
4|Mithun_Chakraborty
7|Swing_the_Mood
5|Beggars_Banquet
7|Phil_Hartman
5|Edmund_Burke
6|Jacques-Louis_David
7|Factory_Showroom
3|Mike_Myers
7|Kid_A
3|Nelly_Furtado
4|I_Want_It_All
7|What_You_Waiting_For?
7|Puerto_Rico
7|Alicia_Keys
5|Titus
4|Acquiesce
5|Another_One_Rides_the_Bus
4|Spider-Man
6|Act_Naturally
6|Franklin_D._Roosevelt
7|Midnight_Love
7|Bruce_Willis
6|The_Argument
4|Giovanni_Antonio_Scopoli
7|John_Lennon/Plastic_Ono_Band
6|Francis_Ford_Coppola
6|Truman_Capote
4|George_Jones
6|Windy
4|Walking_in_Memphis
5|S._Janaki
3|Miss_You_Much
3|Devil_Woman
3|Daniele_Bracciali
7|Total_Eclipse_of_the_Heart
3|Kiss_Symphony:_Alive_IV
5|Last_Train_to_Paris
6|Ric_Flair
3|Brilliant_Corners
3|Internal_Exile
7|Sweet_Little_Sixteen
6|Still_da_Baddest
5|Glenn_McGrath
6|Tiger_Woods
4|Marlene_Dietrich
5|Leander_Paes
7|Bonar_Law
3|Catherine_of_Alexandria
7|Recep_Tayyip_Erdo?an
6|Beggars_Banquet
3|Ballad_of_Hollis_Brown
5|Jonathan_Erlich
4|In_da_Club
3|Cao_Cao
6|Moving_in_Stereo
6|Suleiman_the_Magnificent
7|Emma_Goldman
4|Phil_Collins
4|Peggy_Lee
7|Tatiana_Poutchek
3|Summer_Moved_On
