7871|9429|0
5240|4495|3
2747|5497|2
3775|5203|1
5235|1836|1
2549|5110|2
7317|2789|0
4948|1751|3
944|786|2
9084|3017|2
8334|9778|3
3403|3371|-1
591|7898|0
6539|9693|2
9148|9631|3
2785|7527|3
7636|5045|0
9302|5282|-1
6215|1790|1
5138|1476|3
5853|244|-1
5672|2929|0
5011|7283|1
3226|3932|0
6831|3274|2
9076|7307|3
8398|2385|0
6401|4278|3
6671|9618|3
8640|5848|0
9288|189|3
1963|1916|3
7659|1411|-1
6317|1621|1
4043|907|3
9642|6411|0
1955|1323|0
5411|2878|1
3981|9881|2
3008|3016|-1
6802|6613|3
6643|129|2
8294|7790|3
2161|1447|1
3174|9827|0
7387|2855|1
9994|1657|1
3164|2697|2
4637|1488|-1
9644|3268|0
8276|349|1
3555|762|1
6528|8680|-1
9291|3551|2
8606|350|1
1595|4423|0
3520|1093|1
579|2677|3
4248|6622|3
6528|9296|1
1644|7370|1
9942|7565|-1
3761|6364|2
4860|1694|-1
8163|7823|0
1029|4467|0
7929|2283|-1
9588|1866|2
2947|2625|3
6244|9668|1
2265|3116|0
9738|2082|-1
8654|4096|2
6818|8939|3
2439|3835|1
8841|376|2
4040|9631|-1
3811|1360|3
7789|7922|0
3336|591|1
8513|1086|1
4501|3099|3
6331|9824|-1
9783|7793|-1
2396|8892|-1
6214|7536|2
6846|8151|2
9105|1232|2
1233|9391|0
3441|6557|1
1551|8980|2
1294|9959|2
5962|1347|-1
2650|398|2
6195|4402|3
3163|6385|2
3406|1396|0
5386|3224|3
3853|9029|-1
2341|7086|0
