4|6|Guanhães
7|4|Changge
6|2|Karnataka
5|6|Oskemen
5|3|Osorno
6|2|Changning
4|4|Bến
7|4|Fredericton
6|5|Bandung
6|6|Temuco
7|2|Ilmenau
3|3|Sousse
4|3|Saint_Petersburg
6|6|Indianapolis
7|3|Speyer
7|2|Finland
4|3|Brahmavar
3|3|Brisbane
5|4|Narathiwat
7|6|Ensenada
3|4|João_Monlevade
4|6|Antanifotsy
5|3|Paris
4|3|Bijie
6|4|Erode
7|3|Scotland
4|3|Makati
7|4|Lalitpur
7|4|Bangkok
4|5|Pray_Veng
7|4|England
7|6|Orissa
3|3|Kuching
5|6|Mek'ele
7|3|Tunja
4|4|Dosso
4|4|Gifu
5|3|Venezuela
6|4|Genhe
3|6|Anlu
7|3|Dum_Dum
6|3|Iquique
7|5|Tirunelveli
5|5|Aachen
4|4|Hanover
5|3|Seongbuk-gu
5|3|Republic_of_Ireland
6|2|Sangrur
3|4|Changzhou
4|2|Taungoo
5|5|New_Taipei
5|2|Vellore
3|2|Moka
6|5|Sangrur
5|3|Thies
4|3|Lviv
5|3|Kwaluseni
7|2|Poland
7|4|Moga
5|2|Ithaca
5|6|Hung_Yen_province
3|2|Addis_Ababa
6|5|Thiruchendur
3|6|Tiraspol
4|3|San_Francisco
4|6|Major_Cities
3|5|Brescia
6|2|Perm
7|2|Salamanca
5|3|Udaipur
4|2|Shimoga
3|5|Tallinn
6|5|Poonamallee
7|2|Diamantina
5|5|Barbacena
6|4|Shimonoseki
3|6|Speyer
7|3|Bahria_Town
4|6|Meerut
5|4|São_Carlos
