4|6|Welland
7|4|Babol
6|2|Mauritania
5|6|Garbeta
5|3|Bingen_am_Rhein
6|2|Ponce
4|4|Kumamoto
7|4|Calamba_City
6|5|Kiev
6|6|Coral_Gables
7|2|Debrecen
3|3|Bosnia_and_Herzegovina
4|3|Saravanampatti
6|6|Nan'an_District
7|3|Lampeter
7|2|Nanchong
4|3|Ahmedpur_Sial
3|3|Wansan-gu
5|4|Chania
7|6|Kanazawa
3|4|Zhukovsky
4|6|Amol
5|3|Bilbeis
4|3|Doimukh
6|4|Chi?in?u
7|3|Uruguay
4|3|Musselburgh
7|4|Putian
7|4|Monze
4|5|Jerash
7|4|Ma'anshan
7|6|Suzhou
3|3|Austria
5|6|Abidjan
7|3|Arusha
4|4|Suruga-ku
4|4|Cardiff
5|3|Bijapur
6|4|Thiruchendur
3|6|Banjarmasin
7|3|Melbourne
6|3|Dartington_Hall
7|5|Vijayawada
5|5|Maastricht
4|4|Jammu_and_Kashmir
5|3|Caracas
5|3|Hangzhou
6|2|Gulmarg
3|4|Suncheon
4|2|Erdemli
5|5|Nara
5|2|La_Rioja
3|2|Bielsko-Bia?a
6|5|Gulmarg
5|3|Torrington
4|3|Wadala
5|3|Kikuyu
7|2|Tehran
7|4|Kumanovo
5|2|Amman
5|6|Frankfurt
3|2|Baoding
6|5|Isfahan
3|6|Kagoshima
4|3|Tunisia
4|6|Nicaragua
3|5|Izmir
6|2|Sirsa
7|2|Kheta_Sarai
5|3|Baru_Sahib
4|2|Slovakia
3|5|Kassel
6|5|Osaka_Prefecture
7|2|Valhalla
5|5|Kozhikode
6|4|Union
3|6|Lampeter
7|3|Netherlands
4|6|Huron
5|4|Schenectady
5|6|Huanggang
7|6|Kunming
3|2|Warananagar
3|5|Cameroon
3|3|Lancaster
6|5|Taxila
6|2|Thrissur_City
6|4|Republic_of_Ireland
4|2|Ostroh
5|6|Bra
6|3|San_Isidro
6|3|Maastricht
3|5|Wales
6|5|Hu?
7|5|Pithoragarh
6|2|Corte
4|3|Batna
7|5|Stuttgart
3|4|Minsk
4|4|Zaoksky
