4|1985-04-20
3|1988-12-11
5|1986-01-25
6|1985-09-21
3|1989-11-24
7|1985-06-17
5|1983-06-09
6|1983-03-11
3|1983-06-10
4|1988-10-06
4|1986-08-06
5|1984-10-29
6|1980-07-18
4|1988-06-27
7|1988-12-11
7|1986-04-02
5|1989-12-13
4|1986-11-30
4|1989-04-17
6|1980-05-02
7|1982-10-13
7|1980-03-05
7|1985-11-08
3|1987-01-17
4|1985-05-19
4|1981-07-09
4|1986-10-03
5|1986-08-20
7|1989-04-30
7|1982-02-13
3|1984-08-19
6|1988-12-25
7|1980-09-16
5|1987-02-11
6|1989-04-17
4|1980-09-08
6|1988-09-18
4|1980-07-12
4|1987-07-26
4|1988-01-22
7|1983-07-04
5|1985-09-05
7|1983-12-09
5|1986-12-05
6|1986-12-29
7|1987-07-25
3|1988-10-14
7|1981-09-21
3|1983-01-10
4|1989-07-28
7|1980-07-22
7|1986-01-13
7|1989-02-18
5|1982-01-21
4|1981-10-08
5|1983-10-24
4|1988-10-08
6|1984-10-20
6|1986-05-14
7|1989-10-24
7|1985-05-31
6|1984-12-11
4|1983-06-10
7|1985-04-05
6|1989-06-04
6|1982-11-20
4|1987-05-25
6|1989-01-03
4|1982-04-11
5|1980-12-20
3|1980-11-02
3|1987-04-25
3|1984-11-18
7|1981-04-15
3|1988-05-26
5|1983-03-11
6|1980-08-10
3|1989-04-21
3|1985-05-22
7|1982-03-24
6|1985-02-18
5|1984-07-14
6|1989-05-21
4|1986-07-23
5|1990-01-11
7|1983-11-06
3|1980-05-13
7|1987-04-21
6|1985-09-05
3|1989-03-23
5|1980-09-16
4|1987-09-16
3|1984-12-08
6|1987-03-10
6|1986-11-26
7|1989-12-10
4|1981-01-17
4|1981-12-07
7|1986-10-18
3|1988-11-29
