714|45|0
606|293|3
911|91|2
864|248|1
371|670|1
548|2|2
444|960|0
423|793|3
85|173|2
665|553|2
707|310|3
929|743|-1
531|196|0
154|21|2
257|813|3
568|982|3
987|101|0
998|806|-1
195|799|1
321|824|3
423|577|-1
975|891|0
420|9|1
21|841|0
103|64|2
464|588|3
843|697|0
339|313|3
252|503|3
678|639|0
7|970|3
450|442|3
53|394|-1
397|372|1
341|154|3
82|438|0
494|386|0
491|135|1
310|49|2
590|681|-1
191|162|3
229|898|2
196|754|3
755|112|1
424|989|0
640|665|1
325|109|1
877|270|2
620|909|-1
544|475|0
905|902|1
970|842|1
619|935|-1
846|121|2
788|508|1
658|66|0
778|458|1
374|602|3
561|747|3
619|246|1
891|696|1
232|544|-1
533|74|2
355|374|-1
176|395|0
541|986|0
376|185|-1
336|181|2
393|87|3
341|390|1
13|493|0
316|294|-1
950|647|2
262|922|3
954|291|1
626|376|2
642|813|-1
834|448|3
279|167|0
40|531|1
808|613|1
757|221|3
609|202|-1
226|814|-1
575|776|-1
200|2|2
654|536|2
807|182|2
189|370|0
107|928|1
932|172|2
179|112|2
60|103|-1
608|166|2
77|56|3
548|500|2
929|699|0
284|550|3
686|209|-1
312|341|0
