4|1984-02-16
3|1982-04-11
5|1989-11-19
6|1987-12-14
3|1984-02-24
7|1989-09-25
5|1982-10-13
6|1983-03-11
3|1987-07-24
4|1987-04-22
4|1984-06-04
5|1989-08-01
6|1985-07-31
4|1986-12-29
7|1982-04-11
7|1987-01-17
5|1988-10-22
4|1981-10-31
4|1980-03-28
6|1988-12-07
7|1984-07-14
7|1980-03-05
7|1980-08-05
3|1984-12-24
4|1985-08-31
4|1985-08-04
4|1982-11-13
5|1987-07-26
7|1982-03-29
7|1982-12-07
3|1986-09-16
6|1983-11-06
7|1989-10-04
5|1987-03-23
6|1980-03-28
4|1985-05-31
6|1981-04-11
4|1980-08-13
4|1986-08-20
4|1984-05-15
7|1985-09-25
5|1982-12-20
7|1982-12-31
5|1986-10-18
6|1987-08-30
7|1985-07-02
3|1988-10-14
7|1988-09-07
3|1983-03-26
4|1987-08-11
7|1986-11-29
7|1982-11-10
7|1986-04-16
5|1986-11-25
4|1988-05-24
5|1986-03-13
4|1982-06-22
6|1987-05-17
6|1985-02-08
7|1980-11-28
7|1980-09-08
6|1989-04-02
4|1988-03-03
7|1982-02-22
6|1981-01-09
6|1988-07-02
4|1985-06-18
6|1981-03-02
4|1984-03-16
5|1981-12-28
3|1980-11-02
3|1986-09-13
3|1984-03-19
7|1987-12-06
3|1982-04-05
5|1983-03-11
6|1988-02-03
3|1988-02-29
3|1987-07-01
7|1986-11-07
