4|1980-07-13
3|1984-05-17
5|1984-10-19
6|1987-02-19
3|1986-06-29
7|1981-03-01
5|1986-01-29
6|1986-11-01
3|1985-02-03
4|1986-10-12
4|1980-07-18
5|1983-12-15
6|1983-01-19
4|1988-01-22
7|1989-09-25
7|1985-02-04
5|1987-12-13
4|1982-06-27
4|1989-08-24
6|1982-06-08
7|1983-05-14
7|1984-01-26
7|1980-07-14
3|1982-06-04
4|1990-01-15
4|1982-05-18
4|1982-12-07
5|1989-10-29
7|1988-02-02
7|1982-02-13
3|1985-02-07
6|1986-03-18
7|1984-09-12
5|1987-09-10
6|1980-11-01
4|1989-09-08
6|1981-06-06
4|1986-12-11
4|1987-04-20
4|1983-12-25
7|1989-11-27
5|1986-05-07
7|1981-10-16
5|1985-12-14
6|1985-06-17
7|1986-04-21
3|1984-01-05
7|1983-09-27
3|1986-11-12
4|1984-02-03
7|1984-07-16
7|1982-09-09
7|1985-02-24
5|1986-10-10
4|1989-08-03
5|1985-08-22
4|1984-01-21
6|1989-03-15
6|1989-11-24
7|1987-12-24
7|1985-12-06
6|1986-08-15
4|1983-04-29
7|1987-06-08
6|1980-11-05
6|1982-08-25
4|1982-06-03
6|1987-12-15
4|1984-11-17
5|1983-04-08
3|1985-05-04
3|1985-08-01
3|1986-12-09
7|1982-12-21
3|1984-01-09
5|1989-02-22
6|1988-04-14
3|1985-03-20
3|1989-11-17
7|1982-07-19
