4|6|Irapuato
7|4|Frankfurt
6|2|Baicheng
5|6|Indonesia
5|3|Faridabad
6|2|Guntur
4|4|Tarakan
7|4|Louga
6|5|Iserlohn
6|6|Zacapoaxtla
7|2|Shibpur
3|3|Songjiang_District
4|3|Jabalpur
6|6|Richmond
7|3|Gardēz
7|2|Thailand
4|3|Kalyani
3|3|New_Muslim_Town
5|4|Comrat
7|6|Kagoshima
3|4|Munsirhat
4|6|Radom
5|3|Srikakulam
4|3|Debrecen
6|4|Northern_Ireland
7|3|Cagayan_de_Oro
4|3|Perth
7|4|Saldanha
7|4|Visakhapatnam
4|5|Trà_Vinh
7|4|Beibei_District
7|6|Howrah
3|3|Criciúma
5|6|Mersin
7|3|Almada
4|4|Kalamata
4|4|Los_Baños
5|3|Estonia
6|4|Guelma
3|6|Gulbarga
7|3|Mysore
6|3|Faisalabad
7|5|Sangrur
5|5|Nagoya
4|4|Dafeng
5|3|Ilmenau
5|3|Burma
6|2|Gandhinagar
3|4|Gothenburg
4|2|Tagbilaran
5|5|Amritsar
5|2|Kandivali
3|2|Davao_City
6|5|Gandhinagar
5|3|Niigata
4|3|Palayamkottai
5|3|Marianao
7|2|Turkey
7|4|Hsinchu
5|2|Trà_Vinh
5|6|Addis_Ababa
3|2|Dandong
6|5|Ostrava
3|6|Jinan
4|3|Purulia
4|6|Daqing
3|5|Brooklyn
6|2|Rewari
7|2|Tlalpan
5|3|Nashik
4|2|Shibuya
3|5|Rufisque
6|5|Buenos_Aires
7|2|Gorno-Altaysk
5|5|Cancún
6|4|Darbhanga
3|6|Gardēz
7|3|English_Bazar
4|6|Columbus
5|4|Iași
5|6|Amsterdam
7|6|Shijiazhuang
3|2|Yongkang_District
3|5|New_Haven
3|3|Kuala_Lumpur
6|5|Kashipur
6|2|Los_Angeles
6|4|Manaus
4|2|Toulouse
5|6|Guangzhou
6|3|Stockholm
6|3|Nagoya
3|5|Darmstadt
6|5|Seongbuk-gu
7|5|Dongtai
6|2|Chosica,Lima
4|3|Manchester
7|5|Gainesville
3|4|Culiacán
4|4|Bristol
