954130|78931|0
616407|101508|3
204958|602815|2
15999|820501|1
649928|667943|1
141886|517581|2
86101|990162|0
597300|151961|3
408010|624956|2
228455|590381|2
728930|152782|3
591740|670680|-1
713104|502153|0
404558|609749|2
735445|823776|3
815858|930431|3
730456|21072|0
889047|852551|-1
934572|911630|1
380266|528806|3
680996|174024|-1
319453|481627|0
964286|8935|1
94792|865092|0
571887|69776|2
939048|229268|3
637694|929222|0
506006|492248|3
847480|747234|3
297047|860148|0
103955|789129|3
541743|270551|3
548070|29447|-1
133082|951042|1
646417|470595|3
528961|80126|0
657975|692506|0
433046|123975|1
593264|966775|2
493225|518707|-1
661254|995261|3
780608|719323|2
286740|181898|3
518831|161357|1
277879|992428|0
339368|613208|1
617195|281174|1
177607|774384|2
533098|223013|-1
724383|218965|0
610173|287727|1
596419|437141|1
783709|415123|-1
992716|921133|2
377302|295430|1
733523|863236|0
995925|789679|1
423901|878385|3
874794|678299|3
491508|574657|1
389305|62055|1
348506|358656|-1
773436|605598|2
16398|495988|-1
474866|112930|0
678765|549327|0
762570|303263|-1
605154|279996|2
415426|727628|3
464423|690133|1
159054|765619|0
2718|197442|-1
440374|336347|2
409282|263456|3
136075|616275|1
573358|850235|2
601042|820173|-1
576257|192234|3
637368|232759|0
296628|477670|1
476045|536273|1
696088|386205|3
27864|344416|-1
559820|194865|-1
791941|816241|-1
46993|817637|2
487589|601702|2
43225|196982|2
423306|914427|0
513565|1258|1
327859|660801|2
414348|115215|2
542541|68183|-1
396537|239616|2
12180|326827|3
581964|719555|2
444244|559313|0
975593|884680|3
626746|116040|-1
757841|522858|0
