4|1986-03-23
3|1980-10-07
5|1987-05-22
6|1987-02-26
3|1980-08-02
7|1988-11-01
5|1986-07-08
6|1984-06-28
3|1984-05-21
4|1985-04-25
4|1987-08-16
5|1986-03-10
6|1984-11-10
4|1989-01-26
7|1981-03-21
7|1985-03-04
5|1980-10-31
4|1984-12-06
4|1986-03-24
6|1981-12-11
7|1980-11-19
7|1986-02-08
7|1982-12-04
3|1982-10-23
4|1981-11-04
4|1980-10-12
4|1987-03-05
5|1986-02-06
7|1989-01-02
7|1982-09-11
3|1988-08-17
6|1981-05-21
7|1984-02-27
5|1990-01-18
6|1982-01-22
4|1985-07-13
6|1981-05-08
4|1984-01-24
4|1983-07-11
4|1987-10-26
7|1981-10-31
5|1981-05-01
7|1988-11-05
5|1981-07-24
6|1982-05-27
7|1980-07-05
3|1989-01-27
7|1984-03-17
3|1987-11-04
4|1980-03-03
7|1988-08-30
7|1987-03-21
7|1984-03-29
5|1986-05-07
4|1985-04-21
5|1981-09-19
4|1983-04-30
6|1987-03-25
6|1989-01-11
7|1986-04-08
7|1988-05-16
6|1989-06-27
4|1989-06-04
7|1989-03-15
6|1986-06-30
6|1988-03-31
4|1985-09-01
6|1981-01-21
4|1985-03-03
5|1989-09-03
3|1986-06-02
3|1987-01-26
3|1986-02-21
7|1984-12-29
3|1984-04-07
5|1985-01-01
6|1988-12-13
3|1981-08-09
3|1986-05-18
7|1987-02-23
